"Time","New Population"
1,500
2,693.333333333333
3,957.847703703704
4,1316.52085922544
5,1796.9098116416
6,2429.5701397336
7,3243.9899005901
8,4260.95998148933
9,5481.18984171563
10,6872.50732291051
11,8362.00740131582
12,9842.19255438453
13,11195.9027954028
14,12331.644196121
15,13209.1165791101
16,13839.9429227402
17,14268.0795557108
18,14546.5621991127
19,14722.454497087
20,14831.4185247539
21,14898.0932558177
22,14938.5790205704
23,14963.0468113632
24,14977.7916724672
25,14986.6618512187
26,14991.9923665655
27,14995.1937100142
28,14997.1156099972
29,14998.2691441395
30,14998.9614065941
31,14999.3768151917
32,14999.6260787588
33,14999.7756435268
34,14999.8653847738
35,14999.919230381
36,14999.9515380547
37,14999.9709227702
38,14999.9825536396
39,14999.9895321756
40,14999.9937193024
41,14999.9962315804
42,14999.9977389479
43,14999.9986433686
44,14999.9991860211
45,14999.9995116126
46,14999.9997069676
47,14999.9998241805
48,14999.9998945083
49,14999.999936705
50,14999.999962023
51,14999.9999772138
52,14999.9999863283
53,14999.999991797
54,14999.9999950782
55,14999.9999970469
56,14999.9999982281
57,14999.9999989369
58,14999.9999993621
59,14999.9999996173
60,14999.9999997704
61,14999.9999998622
62,14999.9999999173
63,14999.9999999504
64,14999.9999999702
65,14999.9999999821
66,14999.9999999893
67,14999.9999999936
68,14999.9999999961
69,14999.9999999977
70,14999.9999999986
71,14999.9999999992
72,14999.9999999995
73,14999.9999999997
74,14999.9999999998
75,14999.9999999999
76,14999.9999999999
77,15000
78,15000
79,15000
80,15000
81,15000
82,15000
83,15000
84,15000
85,15000
86,15000
87,15000
88,15000
89,15000
90,15000
91,15000
92,15000
93,15000
94,15000
95,15000
96,15000
97,15000
98,15000
99,15000
100,15000
101,15000
102,15000
103,15000
104,15000
105,15000
106,15000
107,15000
108,15000
109,15000
110,15000
111,15000
112,15000
113,15000
114,15000
115,15000
116,15000
117,15000
118,15000
119,15000
120,15000
